acgme_program_id,classification,fields,rise_program_name,acgme_program_name,rise_location,acgme_location
2750300001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Midwestern University GME Consortium/MWU Program,Midwestern University GME Consortium / MWU Program,"Glendale, AZ","Glendale, AZ"
2750700001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Still OPTI Program,A.T. Still Universit Kirksville College of Osteopathic Medicine/Rocky Vista Health Center Program,"Englewood, CO","Englewood, CO"
2750800001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Eastern Connecticut Health Network Program,University of Connecticut School of Medicine Program,"Manchester, CT","Manchester, CT"
2752500002,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,MSUCOM Statewide Campus System Program,MSUCOM Graduate 4660 Medical Education Alliance Ste. Program East Ph: bent,"East Lansing, MI","Lansing, MI"
2752800001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Still OPTI/Northeast Regional Medical Center Program,A.T. Still Universit Kirksville College of Osteopathic Medicine/Northeast Regional Medical Center Program,"Kirksville, MO","Kirksville, MO"
2753300001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Atlantic Health System/Morristown Medical Center Program,Atlantic Health Program,"Morristown, NJ","Morristown, NJ"
2753400001,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,HES/Mountain View Regional Medical Center Program,HES/Mountain View 43 Regional Medical Center Program M L P g,"Las Cruces, NM","as Cruces, NM"
2755100001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Liberty University College of Osteopathic Medicine Graduate Medical Education Services LLC Program,"Liberty University College of Osteopathic Medicine Graduate Medical Education Services, LLC Program","Lynchburg, VA","Lynchburg, VA"
2755100002,STALE_IDENTITY_REVIEW_REQUIRED,program_name,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,HCA Healthcare LewisGale Hospital- Montgomery/VCOM Program,"Blacksburg, VA","Blacksburg, VA"
2755500001,STALE_IDENTITY_REVIEW_REQUIRED,city,Charleston Area Medical Center/Greenbrier Valley Medical Center Program,Charleston Area Medical Center/Greenbrier Valley Medical Center Program,"Lewisburg, WV","Ronceverte, WV"
2800300142,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Arizona College of Medicine-Tucson Program,University of Arizona College of Medicine- Tucson Program,"Tucson, AZ","Tucson, AZ"
2800521017,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,UCLA David Geffen School of Medicine/UCLA Medical Center Program,UCLA David Geffen Da School of Medicine/UCLA Medical 1 Center Program C L P H,"Los Angeles, CA","os Angeles, CA"
2800521023,STALE_IDENTITY_REVIEW_REQUIRED,city,Stanford Health Care-Sponsored Stanford University Program,Stanford Health Care-Sponsored Stanford University Program,"Stanford, CA","Palo Alto, CA"
2801021130,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,George Washington University Program,George Washington Di University Program Ge Me 23 Wa Ph pt,"Washington, DC","shington, DC"
2801221032,STALE_IDENTITY_REVIEW_REQUIRED,state|city,Medical College of Georgia Program,Medical College of Georgia Program,"Middletown, CT","Augusta, GA"
2801621036,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Illinois College of Medicine at Chicago Program,University of Illino College of Medicine at Chicago Program,"Chicago, IL","Chicago, IL"
2802121043,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Tulane University Program,Tulane University/Ochsner Clinic Program,"New Orleans, LA","New Orleans, LA"
2802500138,STALE_IDENTITY_REVIEW_REQUIRED,program_name,McLaren Health Care/Oakland/MSU Program,McLaren Health Care Corporation/McLaren Oakland Program,"Pontiac, MI","Pontiac, MI"
2802821060,STALE_IDENTITY_REVIEW_REQUIRED,city,Washington University/B-JH/SLCH Consortium Program,Washington University/B-JH/SLCH Consortium Program,"Saint Louis, MO","St Louis, MO"
2803021061,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,University of Nebraska Medical Center College of Medicine Program,University of U Nebraska Medical Center College 9 of Medicine Program O e,"Omaha, NE","maha, NE"
2803212136,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,Dartmouth- Hitchcock/Mary Hitchcock Memorial Hospital Program,"Lebanon, NH","Lebanon, NH"
2803300065,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Rutgers Health/New Jersey Medical School Program,Rutgers Health/New 9 Jersey Medical School Program S N P k,"Newark, NJ","ewark, NJ"
2803500001,STALE_IDENTITY_REVIEW_REQUIRED,city,Westchester Medical Center Program,Westchester Medical Center Program,"Valhalla, NY","Vahalla, NY"
2803511074,STALE_IDENTITY_REVIEW_REQUIRED,city,New York Presbyterian Hospital (Columbia and Cornell Campus) Program,New York Presbyterian Hospital (Columbia and Cornell Campus) Program,"NY, NY","New York, NY"
2803521078,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Rochester Medical Center Program,University of Rochester Medicine Program,"Rochester, NY","Rochester, NY"
2803611082,STALE_IDENTITY_REVIEW_REQUIRED,city,Wake Forest University Baptist Medical Center Program,Wake Forest University Baptist Medical Center Program,"Winston Salem, NC","Winston-Salem, NC"
2803800125,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,OhioHealth/Doctors Hospital Program,OhioHealth/Doctors D Hospital Program 5 C P w,"Columbus, OH","olumbus, OH"
2804100002,STALE_IDENTITY_REVIEW_REQUIRED,program_name,St Luke's Hospital-Anderson Campus Program,St Luke’s Hospital – Anderson Campus Program,"Easton, PA","Easton, PA"
2804111091,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Penn State Milton S Hershey Medical Center Program,Penn State Milton S Hershey Medical Center Program Ce,"Hershey, PA","Hershey, PA"
2804721101,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Tennessee Program,University of Tennessee College of Medicine Program,"Memphis, TN","Memphis, TN"
2804821131,STALE_IDENTITY_REVIEW_REQUIRED,city,San Antonio Uniformed Services Health Education Consortium Program,San Antonio Uniformed Services Health Education Consortium Program,"Jbsa Ft Sam Houston, TX","JBSA-Fort Sam Houston, TX"
2805011108,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,University of Vermont Medical Center Program,University of Un Vermont Medical Center Program AC 11 Bu Ph mi,"Burlington, VT","rlington, VT"
2805121111,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Virginia Commonwealth University Health System Program,Virginia VC Commonwealth University Health PO System Program 12 St Ri Ph en,"Richmond, VA","chmond, VA"
3000321023,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Arizona College of Medicine-Tucson Program,University of Arizona College of Medicine- Tucson Program,"Tucson, AZ","Tucson, AZ"
3000511034,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,UCLA David Geffen School of Medicine/UCLA Medical Center Program,UCLA David Geffen UC School of Medicine/UCLA Medical A Center Program 1 L P H,"Los Angeles, CA","os Angeles, CA"
3000521033,STALE_IDENTITY_REVIEW_REQUIRED,state|city,University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,"Middletown, CT","Los Angeles, CA"
3000811057,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Nuvance Health Consortium (Danbury Hospital) Program,Zucker School of Medicine at Hofstra/Northwell at Danbury Hospital Program,"Danbury, CT","Danbury, CT"
3001031069,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,George Washington University Program,George Washington Ge University Program As 23 Wa Ph,"Washington, DC","shington, DC"
3001100002,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Mayo Clinic College of Medicine and Science Program,Mayo Clinic College of Medicine and Science (Jacksonville) Program,"Jacksonville, FL","Jacksonville, FL"
3001621098,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Illinois College of Medicine at Chicago Program,University of Illino College of Medicine at Chicago Program,"Chicago, IL","Chicago, IL"
3001621412,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Chicago (Endeavor Health - NorthShore Hospitals) Program,University of Chicago (Endeavor Health – NorthShore Hospitals) Program,"Evanston, IL","Evanston, IL"
3002421413,STALE_IDENTITY_REVIEW_REQUIRED,program_name,UMass Chan-Baystate Program,UMass Chan - Baystate Program,"Springfield, MA","Springfield, MA"
3002512162,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Henry Ford St John Hospital Program,Henry Ford St. John Hospital Program,"Detroit, MI","Detroit, MI"
3002811193,STALE_IDENTITY_REVIEW_REQUIRED,city,Washington University/B-JH/SLCH Consortium Program,Washington University/B-JH/SLCH Consortium Program,"Saint Louis, MO","St. Louis, MO"
3003021197,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,University of Nebraska Medical Center College of Medicine Program,University of U Nebraska Medical Center College 9 of Medicine Program O P p,"Omaha, NE","maha, NE"
3003221198,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,Dartmouth- Hitchcock/Mary Hitchcock Memorial Hospital Program,"Lebanon, NH","Lebanon, NH"
3003521245,STALE_IDENTITY_REVIEW_REQUIRED,city,Zucker School of Medicine at Hofstra/Northwell Program,Zucker School of Medicine at Hofstra/Northwell Program,"Greenvale, NY","New Hyde Park, NY"
3003521263,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Rochester Medical Center Program,University of Rochester Medicine Program,"Rochester, NY","Rochester, NY"
3003521398,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Icahn School of Medicine at Mount Sinai/Morningside/West Program,Icahn School of Mo Medicine at Mount 11 Sinai/Morningside/West Program Ne Ph gu,"New York, NY","w York, NY"
3003611270,STALE_IDENTITY_REVIEW_REQUIRED,city,Wake Forest University Baptist Medical Center Program,Wake Forest University Baptist Medical Center Program,"Winston Salem, NC","Winston-Salem, NC"
3003621404,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,ECU Health Medical Center/East Carolina University Program,ECU Health Medical E Center/East Carolina University 2 Program P G P r,"Greenville, NC","reenville, NC"
3004111308,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Penn State Milton S Hershey Medical Center Program,Penn State Milton S Hershey Medical Center Program 50,"Hershey, PA","Hershey, PA"
3004712336,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Tennessee Program,University of Tennessee College of Medicine Program,"Memphis, TN","Memphis, TN"
3005011361,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,University of Vermont Medical Center Program,University of Un Vermont Medical Center Program De Me 11 Bu Ph,"Burlington, VT","rlington, VT"
