acgme_program_id,canonical_rise_program_id,program_specialty_id,program_name,specialty,city,state,accreditation_status,effective_date,academic_year,newly_accredited
1201700004,rise_prg_3bf9a8af-2843-5ffc-a3d0-b5accec3eccb,rise_ps_706ecf7b-60ab-5a4f-9392-dd1f0b16a026,Indiana University School of Medicine (Merrillville) Program,Family Medicine,Merrillville,IN,Initial Accreditation,07/01/2025,2025-2026,true
1202600003,rise_prg_b2c5ed35-9235-5829-baec-d219eeb63002,rise_ps_03bdf47e-7799-5149-a213-6ddbbcaf760f,University of Minnesota/Lakewood Alex Health System Program MD,Family Medicine,Staples,MN,Initial Accreditation,07/01/2025,2025-2026,true
1204200003,rise_prg_186f3628-441e-55d9-835c-1ac2c4227f2c,rise_ps_464168bf-c59a-54b2-a6d4-d2c730967cbb,Ponce Health Sciences University Program,Family Medicine,Ponce,PR,Initial Accreditation,07/01/2025,2025-2026,true
1204500005,rise_prg_e4b59114-001b-5904-bf0d-057a3439c605,rise_ps_fe6729a5-f8a0-5bc5-ba8f-aff4f1b4e307,Medical University of South Carolina College of Medicine (Orangeburg) Program,Family Medicine,Orangeburg,SC,Initial Accreditation,07/01/2025,2025-2026,true
1204800015,rise_prg_cee10e37-1dee-5648-a93e-885deb42936a,rise_ps_425bb711-15e4-5b06-9cd8-5a44fdb076c5,Prime South GME Consortium Program,Family Medicine,Weslaco,TX,Initial Accreditation,07/01/2025,2025-2026,true
1204800016,rise_prg_3a052c5d-988a-55cf-8693-6a04fb289833,rise_ps_a08e70f2-591d-58c1-b5a3-e32610ed5c5c,University of Texas Rio Grande Valley Program,Family Medicine,Harlingen,TX,Initial Accreditation,07/01/2025,2025-2026,true
1304500001,rise_prg_09524656-1951-5133-bd82-119444cdac0c,rise_ps_78bf0331-879f-55cc-a2d9-f3594b651cd0,Medical University of South Carolina College of Medicine Program,Medical Genetics and Genomics,Charleston,SC,Initial Accreditation,09/15/2026,2026-2027,true
1305100003,rise_prg_025ba972-8ae6-58b3-8630-d7c6bb80bab3,rise_ps_654c774a-d885-59cf-8641-d7ba371175b7,University of Virginia Medical Center Program,Medical Genetics and Genomics,Charlottesville,VA,Initial Accreditation,09/15/2026,2026-2027,true
1401200010,rise_prg_00b4ad97-99b5-5b9b-8a5a-9aaf6a9b6a6a,rise_ps_c768e1a2-220b-5ea4-ab83-b64b68f3af9e,Wellstar Health System/Paulding Hospital Program,Internal Medicine,Hiram,GA,Initial Accreditation,01/23/2026,2025-2026,true
1402100004,rise_prg_fefcb348-3748-525f-b862-f5592752b8a0,rise_ps_e8b6dcd0-9e68-5b3a-8188-3faa916d4236,Ochsner Lafayette General Medical Zia Center Program MPH,Internal Medicine,Lafayette,LA,Initial Accreditation,04/17/2026,2025-2026,true
1402800005,rise_prg_c46c3a4e-f228-562c-b900-717c5c26abb1,rise_ps_915799bf-aed6-5cc2-9070-43e9cae72021,Mercy Hospital Springfield Program,Internal Medicine,Springfield,MO,Initial Accreditation,04/17/2026,2025-2026,true
1403500008,rise_prg_35371bdb-a1ad-5923-a832-d6f78b9605be,rise_ps_31f502e5-7e47-5ec0-93db-a7a61d86cd53,Catholic Health Program,Internal Medicine,Smithtown,NY,Initial Accreditation,04/17/2026,2025-2026,true
1403800002,rise_prg_824c208b-6d5b-507e-9908-fbfe79958af4,rise_ps_64f703f6-6691-595b-837f-b3e7c90a09b1,"Western Reserve Health Education, Inc. Program",Internal Medicine,Sharon,PA,Initial Accreditation,04/17/2026,2025-2026,true
1404800011,rise_prg_70673f35-4f14-5196-9143-112f75e49fc5,rise_ps_13d55b4e-6ec9-5b3d-9ab5-cf06c2a2c7eb,St. David's Healthcare Graduate Medical Education Program,Internal Medicine,Austin,TX,Initial Accreditation,04/17/2026,2025-2026,true
1404800021,rise_prg_6b565186-9321-5441-8eba-47513670b71d,rise_ps_ce7d124e-b81d-5b82-893f-efd2618e9d41,Carrollton Regional Medical Center An Program,Internal Medicine,Carrollton,TX,Initial Accreditation,04/17/2026,2025-2026,true
1603300001,rise_prg_eab2c522-761d-5c7a-b342-bfe1a3742f03,rise_ps_b378dcaa-5291-5900-8b5e-e61b6aee76bb,Hackensack Meridian Health Program,Neurological Surgery,Hackensack,NJ,Initial Accreditation,07/01/2026,2026-2027,true
1800500007,rise_prg_ea12e953-b576-5094-a5a8-5cda3eb16079,rise_ps_06ded9c4-8d4c-55ed-a17d-8aab495db28a,Keck School of Medicine of USC Program,Neurology,Los Angeles,CA,Initial Accreditation,01/29/2026,2025-2026,true
1801400001,rise_prg_83f746b4-526b-57ce-87cc-07b77b238d80,rise_ps_4eecc265-a511-549e-91e0-d85f7ce0107a,University of Hawaii John A Burns School of Medicine Program,Neurology,onolulu,HI,Initial Accreditation,01/29/2026,2025-2026,true
